"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
367,"Uttar Pradesh",13,"Gautam Buddha Nagar",GEN,1426920,"DR. MAHESH SHARMA",GENERAL,MALE,SP,Bicycle,298357,"DR. MAHENDRA SINGH NAGAR",GENERAL,MALE,SP,Bicycle,298357,559472,39.21
368,"Uttar Pradesh",14,Bulandshahr,SC,1047474,"DR BHOLA SINGH",SC,MALE,INC,Hand,322176,SHIVRAM,SC,MALE,INC,Hand,322176,275134,26.27
369,"Uttar Pradesh",15,Aligarh,GEN,1128432,"SATISH KUMAR GAUTAM",GENERAL,MALE,SP,Bicycle,486187,"BIJENDRA SINGH",GENERAL,MALE,SP,Bicycle,486187,15647,1.39
370,"Uttar Pradesh",16,Hathras,SC,1076421,"ANOOP PRADHAN BALMIKI",SC,MALE,SP,Bicycle,307428,"JASVEER VALMIKI",SC,MALE,SP,Bicycle,307428,247318,22.98
371,"Uttar Pradesh",17,Mathura,GEN,952483,"HEMAMALINI DHARMENDRA DEOL",GENERAL,MALE,INC,Hand,216657,"MUKESH DHANGAR",GENERAL,MALE,INC,Hand,216657,293407,30.8
372,"Uttar Pradesh",18,Agra,SC,1116765,"PROF S P SINGH BAGHEL",SC,MALE,SP,Bicycle,328103,"SURESH CHAND KARDAM",SC,MALE,SP,Bicycle,328103,271294,24.29
373,"Uttar Pradesh",19,"Fatehpur Sikri",GEN,1026362,"RAJKUMAR CHAHAR",GENERAL,MALE,INC,Hand,402252,"RAMNATH SINGH SIKARWAR",GENERAL,MALE,INC,Hand,402252,43405,4.23
374,"Uttar Pradesh",20,Firozabad,GEN,1102017,"AKSHAYA YADAV",GENERAL,MALE,BJP,Lotus,453725,"VISHWADEEP SINGH",GENERAL,MALE,BJP,Lotus,453725,89312,8.1
375,"Uttar Pradesh",21,Mainpuri,GEN,1049429,"DIMPLE YADAV",GENERAL,MALE,BJP,Lotus,376887,"JAYVEER SINGH",GENERAL,MALE,BJP,Lotus,376887,221639,21.12
376,"Uttar Pradesh",22,Etah,GEN,1005225,"DEVESH SHAKYA",GENERAL,MALE,BJP,Lotus,447756,"RAJVEER SINGH (RAJU BHAIYA)",GENERAL,MALE,BJP,Lotus,447756,28052,2.79
377,"Uttar Pradesh",23,Badaun,GEN,1083202,"ADITYA YADAV",GENERAL,MALE,BJP,Lotus,466864,"DURVIJAY SINGH SHAKYA",GENERAL,MALE,BJP,Lotus,466864,34991,3.23
378,"Uttar Pradesh",24,Aonla,GEN,1082038,"NEERAJ MAURYA",GENERAL,MALE,BJP,Lotus,476546,"DHARMENDRA KASHYAP",GENERAL,MALE,BJP,Lotus,476546,15969,1.48
379,"Uttar Pradesh",25,Bareilly,GEN,1113298,"CHHATRA PAL SINGH GANGWAR",GENERAL,MALE,SP,Bicycle,532323,"PRAVEEN SINGH ARON",GENERAL,MALE,SP,Bicycle,532323,34804,3.13
380,"Uttar Pradesh",26,Pilibhit,GEN,1154206,"JITIN PRASADA",GENERAL,MALE,SP,Bicycle,442223,"BHAGWAT SARAN GANGWAR",GENERAL,MALE,SP,Bicycle,442223,164935,14.29
381,"Uttar Pradesh",27,Shahjahanpur,SC,1239412,"ARUN KUMAR SAGAR",SC,FEMALE,SP,Bicycle,537339,"JYOTSNA GOND",SC,FEMALE,SP,Bicycle,537339,55379,4.47
382,"Uttar Pradesh",28,Kheri,GEN,1205428,"UTKARSH VERMA 'MADHUR'",GENERAL,MALE,BJP,Lotus,523036,"AJAY KUMAR",GENERAL,MALE,BJP,Lotus,523036,34329,2.85
383,"Uttar Pradesh",29,Dhaurahra,GEN,1104703,"ANAND BHADAURIYA",GENERAL,FEMALE,BJP,Lotus,439294,"REKHA VERMA",GENERAL,FEMALE,BJP,Lotus,439294,4449,0.4
384,"Uttar Pradesh",30,Sitapur,GEN,1095057,"RAKESH RATHOR",GENERAL,MALE,BJP,Lotus,441497,"RAJESH VERMA",GENERAL,MALE,BJP,Lotus,441497,89641,8.19
385,"Uttar Pradesh",31,Hardoi,SC,1091302,"JAI PRAKASH",SC,FEMALE,SP,Bicycle,458942,"USHA VERMA",SC,FEMALE,SP,Bicycle,458942,27856,2.55
386,"Uttar Pradesh",32,Misrikh,SC,1043954,"ASHOK KUMAR RAWAT",SC,FEMALE,SP,Bicycle,441610,"SANGITA RAJVANSHI",SC,FEMALE,SP,Bicycle,441610,33406,3.2
387,"Uttar Pradesh",33,Unnao,GEN,1292818,"SWAMI SACHCHIDANAND HARI SAKSHI",GENERAL,FEMALE,SP,Bicycle,580315,"ANNU TANDON",GENERAL,FEMALE,SP,Bicycle,580315,35818,2.77
388,"Uttar Pradesh",34,Mohanlalganj,SC,1368586,"R. K. CHAUDHARY",SC,MALE,BJP,Lotus,597577,"KAUSHAL KISHORE",SC,MALE,BJP,Lotus,597577,70292,5.14
389,"Uttar Pradesh",35,Lucknow,GEN,1129542,"RAJ NATH SINGH",GENERAL,MALE,SP,Bicycle,477550,"RAVIDAS MEHROTRA",GENERAL,MALE,SP,Bicycle,477550,135159,11.97
390,"Uttar Pradesh",36,"Rae Bareli",GEN,1031347,"RAHUL GANDHI",GENERAL,MALE,BJP,Lotus,297619,"DINESH PRATAP SINGH",GENERAL,MALE,BJP,Lotus,297619,390030,37.82
391,"Uttar Pradesh",37,Amethi,GEN,971288,"KISHORI LAL",GENERAL,FEMALE,BJP,Lotus,372032,"SMRITI IRANI",GENERAL,FEMALE,BJP,Lotus,372032,167196,17.21
392,"Uttar Pradesh",38,Sultanpur,GEN,1024874,"RAMBHUAL NISHAD",GENERAL,FEMALE,BJP,Lotus,401156,"MANEKA SANJAY GANDHI",GENERAL,FEMALE,BJP,Lotus,401156,43174,4.21
393,"Uttar Pradesh",39,Pratapgarh,GEN,944397,"SHIV PAL SINGH PATEL (DR. S P SINGH)",GENERAL,MALE,BJP,Lotus,375726,"SANGAM LAL GUPTA",GENERAL,MALE,BJP,Lotus,375726,66206,7.01
394,"Uttar Pradesh",40,Farrukhabad,GEN,1029429,"MUKESH RAJPUT",GENERAL,MALE,SP,Bicycle,485285,"DR. NAVAL KISHOR SHAKYA",GENERAL,MALE,SP,Bicycle,485285,2678,0.26
395,"Uttar Pradesh",41,Etawah,SC,1027518,"JITENDRA KUMAR DOHARE",SC,MALE,BJP,Lotus,432328,"DR RAM SHANKAR KATHERIA",SC,MALE,BJP,Lotus,432328,58419,5.69
396,"Uttar Pradesh",42,Kannauj,GEN,1213015,"AKHILESH YADAV",GENERAL,MALE,BJP,Lotus,471370,"SUBRAT PATHAK",GENERAL,MALE,BJP,Lotus,471370,170922,14.09
397,"Uttar Pradesh",43,Kanpur,GEN,883279,"RAMESH AWASTHI",GENERAL,MALE,INC,Hand,422087,"ALOK MISRA",GENERAL,MALE,INC,Hand,422087,20968,2.37
398,"Uttar Pradesh",44,Akbarpur,GEN,1079304,"DEVENDRA SINGH ALIAS BHOLE SINGH",GENERAL,MALE,SP,Bicycle,473078,"RAJARAM PAL",GENERAL,MALE,SP,Bicycle,473078,44345,4.11
399,"Uttar Pradesh",45,Jalaun,SC,1117795,"NARAYAN DAS AHIRWAR",SC,MALE,BJP,Lotus,476282,"BHANU PRATAP SINGH VERMA",SC,MALE,BJP,Lotus,476282,53898,4.82
400,"Uttar Pradesh",46,Jhansi,GEN,1365204,"ANURAG SHARMA",GENERAL,MALE,INC,Hand,587702,"PRADEEP JAIN ""ADITYA""",GENERAL,MALE,INC,Hand,587702,102614,7.52
401,"Uttar Pradesh",47,Hamirpur,GEN,1101846,"AJENDRA SINGH LODHI",GENERAL,MALE,BJP,Lotus,488054,"KUNWAR PUSHPENDRA SINGH CHANDEL",GENERAL,MALE,BJP,Lotus,488054,2629,0.24
402,"Uttar Pradesh",48,Banda,GEN,1030897,"KRISHNA DEVI SHIVSHANKER PATEL",GENERAL,MALE,BJP,Lotus,335357,"R. K. SINGH PATEL",GENERAL,MALE,BJP,Lotus,335357,71210,6.91
403,"Uttar Pradesh",49,Fatehpur,GEN,1098824,"NARESH CHANDRA UTTAM PATEL",GENERAL,FEMALE,BJP,Lotus,467129,"NIRANJAN JYOTI",GENERAL,FEMALE,BJP,Lotus,467129,33199,3.02
404,"Uttar Pradesh",50,Kaushambi,SC,996362,"PUSHPENDRA SAROJ",SC,MALE,BJP,Lotus,405843,"VINOD KUMAR SONKAR",SC,MALE,BJP,Lotus,405843,103944,10.43
405,"Uttar Pradesh",51,Phulpur,GEN,1009357,"PRAVEEN PATEL",GENERAL,MALE,SP,Bicycle,448268,"AMAR NATH SINGH MAURYA",GENERAL,MALE,SP,Bicycle,448268,4332,0.43
406,"Uttar Pradesh",52,Allahabad,GEN,937048,"UJJWAL RAMAN SINGH",GENERAL,MALE,BJP,Lotus,403350,"NEERAJ TRIPATHI",GENERAL,MALE,BJP,Lotus,403350,58795,6.27
407,"Uttar Pradesh",53,Barabanki,SC,1282413,"TANUJ PUNIA",SC,FEMALE,BJP,Lotus,504223,"RAJRANI RAWAT",SC,FEMALE,BJP,Lotus,504223,215704,16.82
408,"Uttar Pradesh",54,Faizabad,GEN,1133125,"AWADHESH PRASAD",GENERAL,MALE,BJP,Lotus,499722,"LALLU SINGH",GENERAL,MALE,BJP,Lotus,499722,54567,4.82
409,"Uttar Pradesh",55,"Ambedkar Nagar",GEN,1169614,"LALJI VERMA",GENERAL,MALE,BJP,Lotus,407712,"RITESH PANDEY",GENERAL,MALE,BJP,Lotus,407712,137247,11.73
410,"Uttar Pradesh",56,Baharaich,SC,1043702,"ANAND KUMAR",SC,MALE,SP,Bicycle,454575,"RAMESH CHANDRA",SC,MALE,SP,Bicycle,454575,64227,6.15
411,"Uttar Pradesh",57,Kaiserganj,GEN,1047212,"KARAN BHUSHAN SINGH",GENERAL,MALE,SP,Bicycle,422420,"BHAGAT RAM",GENERAL,MALE,SP,Bicycle,422420,148843,14.21
412,"Uttar Pradesh",58,Shrawasti,GEN,1036656,"RAM SHIROMANI VERMA",GENERAL,MALE,BJP,Lotus,434382,"SAKET MISRA",GENERAL,MALE,BJP,Lotus,434382,76673,7.4
413,"Uttar Pradesh",59,Gonda,GEN,943829,"KIRTIVARDHAN SINGH",GENERAL,FEMALE,SP,Bicycle,428034,"SHREYA VERMA",GENERAL,FEMALE,SP,Bicycle,428034,46224,4.9
414,"Uttar Pradesh",60,Domariyaganj,GEN,1009518,"JAGDAMBIKA PAL",GENERAL,MALE,SP,Bicycle,420575,"BHISHMA SHANKAR ALIAS KUSHAL TIWARI",GENERAL,MALE,SP,Bicycle,420575,42728,4.23
415,"Uttar Pradesh",61,Basti,GEN,1075109,"RAM PRASAD CHAUDHARY",GENERAL,MALE,BJP,Lotus,426011,"HARISH CHANDRA ALIAS HARISH DWIVEDI",GENERAL,MALE,BJP,Lotus,426011,100994,9.39
416,"Uttar Pradesh",62,"Sant Kabir Nagar",GEN,1081975,"LAXMIKANT PAPPU NISHAD",GENERAL,MALE,BJP,Lotus,406525,"PRAVIN KUMAR NISHAD",GENERAL,MALE,BJP,Lotus,406525,92170,8.52
417,"Uttar Pradesh",63,Maharajganj,GEN,1200706,"PANKAJ CHAUDHARY",GENERAL,MALE,INC,Hand,555859,"VIRENDRA CHAUDHARY",GENERAL,MALE,INC,Hand,555859,35451,2.95
418,"Uttar Pradesh",64,Gorakhpur,GEN,1146732,"RAVINDRA SHUKLA ALIAS RAVI KISHAN",GENERAL,FEMALE,SP,Bicycle,482308,"KAJAL NISHAD",GENERAL,FEMALE,SP,Bicycle,482308,103526,9.03
419,"Uttar Pradesh",65,"Kushi Nagar",GEN,1070701,"VIJAY KUMAR DUBAY",GENERAL,MALE,SP,Bicycle,434555,"AJAY PRATAP SINGH URF PINTU SAITHWAR",GENERAL,MALE,SP,Bicycle,434555,81790,7.64
420,"Uttar Pradesh",66,Deoria,GEN,1033096,"SHASHANK MANI",GENERAL,MALE,INC,Hand,469699,"AKHILESH PRATAP SINGH",GENERAL,MALE,INC,Hand,469699,34842,3.37
421,"Uttar Pradesh",67,Bansgaon,SC,935742,"KAMLESH PASWAN",SC,MALE,INC,Hand,425543,"SADAL PRASAD",SC,MALE,INC,Hand,425543,3150,0.34
422,"Uttar Pradesh",68,Lalganj,SC,996344,"DAROGA PRASAD SAROJ",SC,FEMALE,BJP,Lotus,324936,"NEELAM SONKER",SC,FEMALE,BJP,Lotus,324936,115023,11.54
423,"Uttar Pradesh",69,Azamgarh,GEN,1048286,"DHARMENDRA YADAV",GENERAL,MALE,BJP,Lotus,347204,"DINESH LAL YADAV “NIRAHUA”",GENERAL,MALE,BJP,Lotus,347204,161035,15.36
424,"Uttar Pradesh",70,Ghosi,GEN,1147072,"RAJEEV RAI",GENERAL,MALE,SBSP,"Walking stick",340188,"DR. ARVIND RAJBHAR",GENERAL,MALE,SBSP,"Walking stick",340188,162943,14.21
425,"Uttar Pradesh",71,Salempur,GEN,909813,"RAMASHANKAR RAJBHAR",GENERAL,MALE,BJP,Lotus,401899,"RAVINDAR KUSHAWAHA",GENERAL,MALE,BJP,Lotus,401899,3573,0.39
426,"Uttar Pradesh",72,Ballia,GEN,999135,"SANATAN PANDEY",GENERAL,MALE,BJP,Lotus,423684,"NEERAJ SHEKHAR",GENERAL,MALE,BJP,Lotus,423684,43384,4.34
427,"Uttar Pradesh",73,Jaunpur,GEN,1095459,"BABU SINGH KUSHWAHA",GENERAL,MALE,BJP,Lotus,409795,"KRIPASHANKAR SINGH",GENERAL,MALE,BJP,Lotus,409795,99335,9.07
428,"Uttar Pradesh",74,Machhlishahr,SC,1050760,"PRIYA SAROJ",SC,MALE,BJP,Lotus,415442,"BHOLANATH (B.P. SAROJ)",SC,MALE,BJP,Lotus,415442,35850,3.41
429,"Uttar Pradesh",75,Ghazipur,GEN,1144029,"AFZAL ANSARI",GENERAL,MALE,BJP,Lotus,415051,"PARS NATH RAI",GENERAL,MALE,BJP,Lotus,415051,124861,10.91
430,"Uttar Pradesh",76,Chandauli,GEN,1107494,"BIRENDRA SINGH",GENERAL,MALE,BJP,Lotus,452911,"DR. MAHENDRA NATH PANDEY",GENERAL,MALE,BJP,Lotus,452911,21565,1.95
431,"Uttar Pradesh",77,Varanasi,GEN,1121665,"NARENDRA MODI",GENERAL,MALE,INC,Hand,460457,"AJAY RAI",GENERAL,MALE,INC,Hand,460457,152513,13.6
432,"Uttar Pradesh",78,Bhadohi,GEN,1073764,"DR. VINOD KUMAR BIND",GENERAL,MALE,AITC,"Flowers and Grass",415910,"LALITESHPATI TRIPATHI",GENERAL,MALE,AITC,"Flowers and Grass",415910,44072,4.1
433,"Uttar Pradesh",79,Mirzapur,GEN,1090356,"ANUPRIYA PATEL",GENERAL,MALE,SP,Bicycle,433821,"RAMESH CHAND BIND",GENERAL,MALE,SP,Bicycle,433821,37810,3.47
434,"Uttar Pradesh",80,Robertsganj,SC,990513,CHHOTELAL,SC,FEMALE,ADAL,"Cup & saucer",336614,"RINKI SINGH",SC,FEMALE,ADAL,"Cup & saucer",336614,129234,13.05
435,"West Bengal",1,Coochbehar,SC,1607485,"JAGADISH CHANDRA BARMA BASUNIA",SC,MALE,BJP,Lotus,749125,"NISITH PRAMANIK",SC,MALE,BJP,Lotus,749125,39250,2.44
436,"West Bengal",2,Alipurduars,ST,1400091,"MANOJ TIGGA",ST,MALE,AITC,"Flowers and Grass",619867,"PRAKASH CHIK BARAIK",ST,MALE,AITC,"Flowers and Grass",619867,75447,5.39
437,"West Bengal",3,Jalpaiguri,SC,1561541,"DR JAYANTA KUMAR ROY",SC,MALE,AITC,"Flowers and Grass",679875,"NIRMAL CHANDRA ROY",SC,MALE,AITC,"Flowers and Grass",679875,86693,5.55
438,"West Bengal",4,Darjeeling,GEN,1309391,"RAJU BISTA",ST,MALE,AITC,"Flowers and Grass",500806,"GOPAL LAMA",ST,MALE,AITC,"Flowers and Grass",500806,178525,13.63
439,"West Bengal",5,Raiganj,GEN,1366531,"KARTICK CHANDRA PAUL",GENERAL,MALE,AITC,"Flowers and Grass",492700,"KALYANI KRISHNA",GENERAL,MALE,AITC,"Flowers and Grass",492700,68197,4.99
440,"West Bengal",6,Balurghat,GEN,1229871,"SUKANTA MAJUMDAR",GENERAL,MALE,AITC,"Flowers and Grass",564610,"BIPLAB MITRA",GENERAL,MALE,AITC,"Flowers and Grass",564610,10386,0.84
441,"West Bengal",7,"Maldaha Uttar",GEN,1410301,"KHAGEN MURMU",GENERAL,MALE,AITC,"Flowers and Grass",449315,"PRASUN BANERJEE",GENERAL,MALE,AITC,"Flowers and Grass",449315,77708,5.51
442,"West Bengal",8,"Maldaha Dakshin",GEN,1366992,"ISHA KHAN CHOUDHURY",GENERAL,FEMALE,BJP,Lotus,444027,"SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI)",GENERAL,FEMALE,BJP,Lotus,444027,128368,9.39
443,"West Bengal",9,Jangipur,GEN,1352475,"KHALILUR RAHAMAN",GENERAL,MALE,INC,Hand,427790,"MURTOJA HOSSAIN BOKUL",GENERAL,MALE,INC,Hand,427790,116637,8.62
444,"West Bengal",10,Baharampur,GEN,1377285,"PATHAN YUSUF",GENERAL,MALE,INC,Hand,439494,"ADHIR RANJAN CHOWDHURY",GENERAL,MALE,INC,Hand,439494,85022,6.17
445,"West Bengal",11,Murshidabad,GEN,1528289,"ABU TAHER KHAN",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",518227,"MD SALIM",GENERAL,MALE,CPI(M),"Hammer, Sickle and Star",518227,164215,10.75
446,"West Bengal",12,Krishnanagar,GEN,1418901,"MAHUA MOITRA",GENERAL,FEMALE,BJP,Lotus,572084,"AMRITA ROY",GENERAL,FEMALE,BJP,Lotus,572084,56705,4
447,"West Bengal",13,Ranaghat,SC,1530739,"JAGANNATH SARKAR",SC,MALE,AITC,"Flowers and Grass",595497,"MUKUT MANI ADHIKARI",SC,MALE,AITC,"Flowers and Grass",595497,186899,12.21
448,"West Bengal",14,Bangaon,SC,1486423,"SHANTANU THAKUR",SC,MALE,AITC,"Flowers and Grass",645812,"BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS",SC,MALE,AITC,"Flowers and Grass",645812,73693,4.96
449,"West Bengal",15,Barrackpur,GEN,1130778,"PARTHA BHOWMICK",GENERAL,MALE,BJP,Lotus,455793,"ARJUN SINGH",GENERAL,MALE,BJP,Lotus,455793,64438,5.7
450,"West Bengal",16,"Dum dum",GEN,1248712,"SOUGATA RAY",GENERAL,MALE,BJP,Lotus,457919,"SILBHADRA DATTA",GENERAL,MALE,BJP,Lotus,457919,70660,5.66
451,"West Bengal",17,Barasat,GEN,1514709,"Dr. KAKOLI GHOSH DASTIDAR",SC,MALE,BJP,Lotus,577821,"SWAPAN MAJUMDER",SC,MALE,BJP,Lotus,577821,114189,7.54
452,"West Bengal",18,Basirhat,GEN,1518153,"SK NURUL ISLAM",SC,FEMALE,BJP,Lotus,470215,"REKHA PATRA",SC,FEMALE,BJP,Lotus,470215,333547,21.97
453,"West Bengal",19,Jaynagar,SC,1472843,"PRATIMA MONDAL",SC,MALE,BJP,Lotus,424093,"ASHOK KANDARY",SC,MALE,BJP,Lotus,424093,470219,31.93
454,"West Bengal",20,Mathurapur,SC,1487393,"BAPI HALDAR",SC,MALE,BJP,Lotus,554674,"ASHOK PURKAIT",SC,MALE,BJP,Lotus,554674,201057,13.52
455,"West Bengal",21,"Diamond harbour",GEN,1520629,"ABHISHEK BANERJEE",GENERAL,MALE,BJP,Lotus,337300,"ABHIJIT DAS (BOBBY)",GENERAL,MALE,BJP,Lotus,337300,710930,46.75
456,"West Bengal",22,Jadavpur,GEN,1559094,"SAYANI GHOSH",GENERAL,MALE,BJP,Lotus,459698,"DR. ANIRBAN GANGULY",GENERAL,MALE,BJP,Lotus,459698,258201,16.56
457,"West Bengal",23,"Kolkata Dakshin",GEN,1237054,"MALA ROY",GENERAL,FEMALE,BJP,Lotus,428043,"DEBASREE CHAUDHURI",GENERAL,FEMALE,BJP,Lotus,428043,187231,15.14
458,"West Bengal",24,"Kolkata Uttar",GEN,948389,"BANDYOPADHYAY SUDIP",GENERAL,MALE,BJP,Lotus,362136,"TAPAS ROY",GENERAL,MALE,BJP,Lotus,362136,92560,9.76
459,"West Bengal",25,Howrah,GEN,1261712,"PRASUN BANERJEE",GENERAL,MALE,BJP,Lotus,457051,"DR RATHIN CHAKRAVARTY",GENERAL,MALE,BJP,Lotus,457051,169442,13.43
460,"West Bengal",26,Uluberia,GEN,1379476,"SAJDA AHMED",GENERAL,MALE,BJP,Lotus,505949,"ARUNUDAY PAULCHOWDHURY",GENERAL,MALE,BJP,Lotus,505949,218673,15.85
461,"West Bengal",27,Sreerampur,GEN,1461498,"KALYAN BANERJEE",GENERAL,MALE,BJP,Lotus,499140,"KABIR SHANKAR BOSE",GENERAL,MALE,BJP,Lotus,499140,174830,11.96
462,"West Bengal",28,Hooghly,GEN,1504159,"RACHNA BANERJEE",GENERAL,FEMALE,BJP,Lotus,625891,"LOCKET CHATTERJEE",GENERAL,FEMALE,BJP,Lotus,625891,76853,5.11
463,"West Bengal",29,Arambag,SC,1541048,"BAG MITALI",SC,MALE,BJP,Lotus,706188,"ARUP KANTI DIGAR",SC,MALE,BJP,Lotus,706188,6399,0.42
464,"West Bengal",30,Tamluk,GEN,1569054,"ABHIJIT GANGOPADHYAY",GENERAL,MALE,AITC,"Flowers and Grass",687851,"DEBANGSHU BHATTACHARYA",GENERAL,MALE,AITC,"Flowers and Grass",687851,77733,4.95
465,"West Bengal",31,Kanthi,GEN,1522863,"ADHIKARI SOUMENDU",GENERAL,MALE,AITC,"Flowers and Grass",715431,"UTTAM BARIK SON OF LATE BIRENDRA BARIK",GENERAL,MALE,AITC,"Flowers and Grass",715431,47764,3.14
466,"West Bengal",32,Ghatal,GEN,1587590,"ADHIKARI DEEPAK (DEV)",GENERAL,MALE,BJP,Lotus,655122,"DR. HIRANMOY CHATTOPADHYAYA",GENERAL,MALE,BJP,Lotus,655122,182868,11.52
467,"West Bengal",33,Jhargram,ST,1474923,"KALIPADA SAREN (KHERWAL)",ST,MALE,BJP,Lotus,569430,"DR. PRANAT TUDU",ST,MALE,BJP,Lotus,569430,174048,11.8
468,"West Bengal",34,Medinipur,GEN,1469139,"JUNE MALIAH",GENERAL,FEMALE,BJP,Lotus,675001,"AGNIMITRA PAUL",GENERAL,FEMALE,BJP,Lotus,675001,27191,1.85
469,"West Bengal",35,Purulia,GEN,1416089,"JYOTIRMAY SINGH MAHATO",GENERAL,MALE,AITC,"Flowers and Grass",561410,"SHANTIRAM MAHATO",GENERAL,MALE,AITC,"Flowers and Grass",561410,17079,1.21
470,"West Bengal",36,Bankura,GEN,1421465,"ARUP CHAKRABORTY",GENERAL,MALE,BJP,Lotus,609035,"DR. SUBHAS SARKAR",GENERAL,MALE,BJP,Lotus,609035,32778,2.31
471,"West Bengal",37,Bishnupur,SC,1494740,"KHAN SAUMITRA",SC,FEMALE,AITC,"Flowers and Grass",674563,"SUJATA MONDAL",SC,FEMALE,AITC,"Flowers and Grass",674563,5567,0.37
472,"West Bengal",38,"Bardhaman Purba",SC,1484613,"DR. SHARMILA SARKAR",SC,MALE,BJP,Lotus,559730,"ASIM KUMAR SARKAR",SC,MALE,BJP,Lotus,559730,160572,10.82
473,"West Bengal",39,Bardhaman-Durgapur,GEN,1480178,"AZAD KIRTI JHA",GENERAL,MALE,BJP,Lotus,582686,"DILIP GHOSH",GENERAL,MALE,BJP,Lotus,582686,137981,9.32
474,"West Bengal",40,Asansol,GEN,1286030,"SHATRUGHAN PRASAD SINHA",GENERAL,MALE,BJP,Lotus,546081,"SURENDRAJEET SINGH AHLUWALIA",GENERAL,MALE,BJP,Lotus,546081,59564,4.63
475,"West Bengal",41,Bolpur,SC,1506748,"ASIT KUMAR MAL",SC,FEMALE,BJP,Lotus,528380,"PIYA SAHA",SC,FEMALE,BJP,Lotus,528380,327253,21.72
476,"West Bengal",42,Birbhum,GEN,1513339,"SATABDI ROY",GENERAL,MALE,BJP,Lotus,520311,"DEBTANU BHATTACHARYA",GENERAL,MALE,BJP,Lotus,520311,197650,13.06
477,Chhattisgarh,1,SURGUJA,ST,1427148,"CHINTAMANI MAHARAJ",ST,FEMALE,INC,Hand,648378,"SHASHI SINGH KORAM",ST,FEMALE,INC,Hand,648378,64822,4.54
478,Chhattisgarh,2,RAIGARH,ST,1437943,"RADHESHYAM RATHIYA",ST,FEMALE,INC,Hand,567884,"DR. MENKA DEVI SINGH",ST,FEMALE,INC,Hand,567884,240391,16.72
479,Chhattisgarh,3,JANJGIR-CHAMPA,SC,1387103,"KAMLESH JANGDE",SC,MALE,INC,Hand,618199,"DR. SHIVKUMAR DAHARIYA",SC,MALE,INC,Hand,618199,60000,4.33
480,Chhattisgarh,4,KORBA,GEN,1219216,"JYOTSNA CHARANDAS MAHANT",GENERAL,FEMALE,BJP,Lotus,526899,"SAROJ PANDEY",GENERAL,FEMALE,BJP,Lotus,526899,43283,3.55
481,Chhattisgarh,5,BILASPUR,GEN,1358501,"TOKHAN SAHU",GENERAL,MALE,INC,Hand,560379,"DEVENDRA YADAV",GENERAL,MALE,INC,Hand,560379,164558,12.11
482,Chhattisgarh,6,RAJNANDGAON,GEN,1436212,"SANTOSH PANDEY",GENERAL,MALE,INC,Hand,667646,"BHUPESH BAGHEL",GENERAL,MALE,INC,Hand,667646,44411,3.09
483,Chhattisgarh,7,DURG,GEN,1537170,"VIJAY BAGHEL",GENERAL,MALE,INC,Hand,518271,"RAJENDRA SAHU",GENERAL,MALE,INC,Hand,518271,438226,28.51
484,Chhattisgarh,8,RAIPUR,GEN,1582307,"BRIJMOHAN AGRAWAL",GENERAL,MALE,INC,Hand,475066,"VIKAS UPADHYAY",GENERAL,MALE,INC,Hand,475066,575285,36.36
485,Chhattisgarh,9,MAHASAMUND,GEN,1322240,"ROOP KUMARI CHOUDHARY",GENERAL,MALE,INC,Hand,558203,"TAMRADHWAJ SAHU",GENERAL,MALE,INC,Hand,558203,145456,11
486,Chhattisgarh,10,BASTAR,ST,970637,"MAHESH KASHYAP",ST,MALE,INC,Hand,403153,"KAWASI LAKHMA",ST,MALE,INC,Hand,403153,55245,5.69
487,Chhattisgarh,11,KANKER,ST,1246760,"BHOJRAJ NAG",ST,MALE,INC,Hand,595740,"BIRESH THAKUR",ST,MALE,INC,Hand,595740,1884,0.15
488,Jharkhand,1,Rajmahal,ST,1200032,"VIJAY KUMAR HANSDAK",ST,MALE,BJP,Lotus,435107,"TALA MARANDI",ST,MALE,BJP,Lotus,435107,178264,14.85
489,Jharkhand,2,Dumka,ST,1179606,"NALIN SOREN",ST,FEMALE,BJP,Lotus,524843,"SITA MURMU",ST,FEMALE,BJP,Lotus,524843,22527,1.91
490,Jharkhand,3,Godda,GEN,1393843,"NISHIKANT DUBEY",GENERAL,MALE,INC,Hand,591327,"PRADEEP YADAV",GENERAL,MALE,INC,Hand,591327,101813,7.3
491,Jharkhand,4,Chatra,GEN,1077870,"KALI CHARAN SINGH",GENERAL,MALE,INC,Hand,353597,"KRISHNA NAND TRIPATHI",GENERAL,MALE,INC,Hand,353597,220959,20.5
492,Jharkhand,5,Kodarma,GEN,1327812,"ANNPURNA DEVI",GENERAL,MALE,CPI(ML)(L),"Flag with three stars",414643,"VINOD KUMAR SINGH",GENERAL,MALE,CPI(ML)(L),"Flag with three stars",414643,377014,28.39
493,Jharkhand,6,Giridih,GEN,1258789,"CHANDRA PRAKASH CHOUDHARY",GENERAL,MALE,JMM,"Bow & arrow",370259,"MATHURA PRASAD MAHATO",GENERAL,MALE,JMM,"Bow & arrow",370259,80880,6.43
