"SL. NO.",State,"Const No.",Constituency,"Constituency Type","Total Valid Votes","Winner Name","Social Category",Gender,Party,"Party Symbol","Vote Secured","Runner Up Name","Social Category",Gender,Party,"Party Symbol","Vote Secured",Margin,"Margin %"
38,Assam,11,Sonitpur,GEN,1269720,"RANJIT DUTTA",GENERAL,MALE,INC,Hand,414380,"PREMLAL GANJU",GENERAL,MALE,INC,Hand,414380,361408,28.46
39,Assam,12,Lakhimpur,GEN,1194293,"PRADAN BARUAH",GENERAL,MALE,INC,Hand,461865,"UDAY SHANKAR HAZARIKA",GENERAL,MALE,INC,Hand,461865,201257,16.85
40,Assam,13,Dibrugarh,GEN,1246067,"SARBANANDA SONOWAL",GENERAL,MALE,ASMJTYP,Ship,414441,"LURINJYOTI GOGOI",GENERAL,MALE,ASMJTYP,Ship,414441,279321,22.42
41,Assam,14,Jorhat,GEN,1376605,"GAURAV GOGOI",GENERAL,MALE,BJP,Lotus,607378,"TOPON KUMAR GOGOI",GENERAL,MALE,BJP,Lotus,607378,144393,10.49
42,Bihar,1,"Valmiki Nagar",GEN,1071121,"SUNIL KUMAR",GENERAL,MALE,RJD,"Hurricane lamp",424747,"DEEPAK YADAV",GENERAL,MALE,RJD,"Hurricane lamp",424747,98675,9.21
43,Bihar,2,"Paschim Champaran",GEN,1074968,"DR.SANJAY JAISWAL",GENERAL,MALE,INC,Hand,443853,"MADAN MOHAN TIWARI",GENERAL,MALE,INC,Hand,443853,136568,12.7
44,Bihar,3,"Purvi Champaran",GEN,1053900,"RADHA MOHAN SINGH",GENERAL,MALE,VSIP,"Lady purse",453906,"DR RAJESH KUMAR",GENERAL,MALE,VSIP,"Lady purse",453906,88287,8.38
45,Bihar,4,Sheohar,GEN,1025434,"LOVELY ANAND",GENERAL,FEMALE,RJD,"Hurricane lamp",447469,"RITU JAISWAL",GENERAL,FEMALE,RJD,"Hurricane lamp",447469,29143,2.84
46,Bihar,5,Sitamarhi,GEN,1061859,"DEVESH CHANDRA THAKUR",GENERAL,MALE,RJD,"Hurricane lamp",464363,"ARJUN RAY",GENERAL,MALE,RJD,"Hurricane lamp",464363,51356,4.84
47,Bihar,6,Madhubani,GEN,1007009,"ASHOK KUMAR YADAV",GENERAL,MALE,RJD,"Hurricane lamp",401483,"MD ALI ASHRAF FATMI",GENERAL,MALE,RJD,"Hurricane lamp",401483,151945,15.09
