S.No.,"Division/Seat No.","Name of Member","Lok Sabha",Session,State,Constituency,"Total Sittings","No. of days member signed the register"
361,427,"Shri  Yashbant N.S.  Laguri                                            ",15,3,"Orissa                                                      ",Keonjhar,21,14
362,428,"Shri  Kalikesh N. Singh  Deo                                               ",15,3,"Orissa                                                      ",Bolangir,21,11
363,429,"Shri  Kristappa  Nimmala                                           ",15,3,"Andhra Pradesh                                              ",Hindupur,21,20
364,430,"Shri  Y.S.Jagan Mohan  Reddy                                             ",15,3,"Andhra Pradesh                                              ",Kadapa,21,16
365,431,"Shri  Gajanan D.  Babar                                             ",15,3,"Maharashtra                                                 ",Maval,21,5
366,432,"Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ",15,3,"Maharashtra                                                 ",Parbhani,21,21
367,433,"Smt.  Meena  Singh                                             ",15,3,"Bihar                                                       ",Arrah,21,18
368,434,"Shri  Bhudeo  Choudhary                                         ",15,3,"Bihar                                                       ",Jamui,21,21
369,435,"Shri   Bhausaheb  Rajaram   Wakchaure                               ",15,3,"Maharashtra                                                 ",Shirdi,21,10
370,436,"Shri  Kamlesh  Paswan                                            ",15,3,"Uttar Pradesh                                               ",Bansgaon,21,15
371,437,"Prof.(Dr.)  Ram Shankar  Katheria                                          ",15,3,"Uttar Pradesh                                               ",Agra,21,10
372,438,"Shri  Rajendra  Agarwal                                           ",15,3,"Uttar Pradesh                                               ",Meerut,21,20
373,439,"Shri    Varun  Gandhi                                            ",15,3,"Uttar Pradesh                                               ",Pilibhit,21,16
374,440,"Shri   Raju Shetti  ",15,3,"Maharashtra                                                 ",Hatkanangle,21,18
375,441,"Shri  Sidhant  Mohapatra                                         ",15,3,"Orissa                                                      ",Berhampur,21,12
376,442,"Shri  Laxman  Tudu                                              ",15,3,"Orissa                                                      ",Mayurbhanj,21,14
377,444,"Shri  Kaushalendra  Kumar                                             ",15,3,"Bihar                                                       ",Nalanda,21,21
378,445,"Shri  Maheshwar  Hazari                                            ",15,3,"Bihar                                                       ",Samastipur,21,18
379,446,"Shri  Sher Singh  Ghubaya                                           ",15,3,"Punjab                                                      ",Ferozpur,21,16
380,447,"Shri  Joseph  Toppo                                             ",15,3,"Assam                                                       ",Tezpur,21,16
381,448,"Shri  Virender  Kashyap                                           ",15,3,"Himachal Pradesh                                            ",Shimla,21,19
382,449,"Shri  Shivarama  Gouda                                             ",15,3,"Karnataka                                                   ",Koppal,21,6
383,450,"Shri  Udasi Shivkumar  Chanabasappa                                      ",15,3,"Karnataka                                                   ",Haveri,21,10
384,451,"Dr.  Rajan  Sushant                                           ",15,3,"Himachal Pradesh                                            ",Kangra,21,21
