state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0002292575,1892862,"Deep Tubewell","Ground Water","H E Ele School",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Didugu,Didugu,Didugu,0000015344,0002292549,1895547,"Deep Tubewell","Ground Water","Yebu House",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0002292515,1895503,"Deep Tubewell","Ground Water","Sambisivarao House",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Attaluru,Attaluru,"Nuthalapativari Palem",0000015339,0002292486,1895474,"Deep Tubewell","Ground Water","Ele School",HANDPUMP,1992-1993,0.20000,0.20000,"31 Mar 1993","31 Mar 1993",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Karlapudi,Karlapudi,Karlapudi,0000015355,0002292703,1892990,"Deep Tubewell","Ground Water",NA,HANDPUMP,1983-1984,0.10000,0.10000,"31 Mar 1984","31 Mar 1984",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Endroy,Endroy,Endroy,0000015353,0002292680,1892963,"Deep Tubewell","Ground Water",NA,HANDPUMP,1991-1992,0.20000,0.20000,"31 Mar 1992","31 Mar 1992",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Endroy,Endroy,Endroy,0000015353,0002292670,1892961,"Deep Tubewell","Ground Water",NA,HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Pedamadduru,Pedamadduru,Pedamadduru,0000015350,0002292661,1892946,"Deep Tubewell","Ground Water","Rosaia House",HANDPUMP,1994-1995,0.20000,0.20000,"31 Mar 1995","31 Mar 1995",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Pedamadduru,Pedamadduru,Pedamadduru,0000015350,0002292654,1892945,"Deep Tubewell","Ground Water","Ele School",HANDPUMP,1988-1989,0.10000,0.10000,"31 Mar 1989","31 Mar 1989",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Pedamadduru,Pedamadduru,Pedamadduru,0000015350,0002292653,1892940,"Deep Tubewell","Ground Water","NEAR P.CHANDRA RAO HOUSE",HANDPUMP,1982-1983,0.10000,0.10000,"31 Mar 1983","31 Mar 1983",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Pedamadduru,Pedamadduru,Pedamadduru,0000015350,0002292655,1892939,"Deep Tubewell","Ground Water","Ele School",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Amaravathi,Amaravathi,Amaravathi,0000015348,0002292633,1892916,"Deep Tubewell","Ground Water","Hanumantha Rao House",HANDPUMP,1994-1995,0.20000,0.20000,"31 Mar 1995","31 Mar 1995",2024-06-07
