Jharkhand,"3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC",2
Jharkhand,"3.3 - Kidnapping for Ransom Section 364A",2
Jharkhand,"3.4 - Kidnapping & Abduction of Women to compel her for marriage",819
Jharkhand,"3.5 - Kidnapping & Abduction of Women-Other",36
Jharkhand,"4 - Dowry Deaths (Section 304-B IPC)",350
Jharkhand,"5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC)",440
Jharkhand,"5.1 - Sexual Harassment",114
Jharkhand,"5.2 - Assault on women with intent to Disrobe",65
Jharkhand,"5.3 - Voyeurism",0
Jharkhand,"5.4 - Stalking",5
Jharkhand,"5.5 - Others",256
Jharkhand,"6 - Insult to the Modesty of Women_Total (Section 509 IPC)",18
Jharkhand,"6.1 - At Office premises",0
Jharkhand,"6.2 - Other places related to work",1
Jharkhand,"6.3 - In Public Transport system",0
Jharkhand,"6.4 - in Other Places",17
Jharkhand,"7 - Cruelty by Husband or his Relatives (Section 498A)",1462
Jharkhand,"8 - Importation of Girls from Foreign Country (Section 366B IPC)",2
Jharkhand,"9 - Abetment of Suicides of Women u/s 306 IPC",1
Jharkhand,"10 - Dowry Prohibition Act, 1961",1538
Jharkhand,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2
Jharkhand,"12 - Commission of Sati Prevention Act 1987",0
Jharkhand,"13 - Protection of Women from Domestic Violence Act, 2005",5
Jharkhand,"14 - Immoral Traffic (Prevention) Act (Women Cases only)",11
Jharkhand,"14.1 - Under ITP Section 5",6
Jharkhand,"14.2 - Under ITP Section 6",1
Jharkhand,"14.3 - Under ITP Section 7",0
Jharkhand,"14.4 - Under ITP Section 8",0
Jharkhand,"14.5 - Other Sections under ITP Act",4
Jharkhand,"15 - Total Crimes against Women",5972
Karnataka,"1 - Rape (Section 376 IPC)",1324
Karnataka,"1.1 - Custodial Rape",0
Karnataka,"1.1.1 - Custodial_Gang Rape",0
Karnataka,"1.1.2 - Custodial_Other Rape",0
Karnataka,"1.2 - Rape other than Custodial",1324
Karnataka,"1.2.1 - Rape_Gang Rape",25
Karnataka,"1.2.2 - Rape_Others",1299
Karnataka,"2 - Attempt to commit Rape (Section 376 & 511 IPC)",22
Karnataka,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",1457
Karnataka,"3.1 - Kidnaping & Abduction Section 363 IPC",769
