"Name of Institution","Name of Faculty","Name of Department",Level,Programme,"Name of Discipline",Intake,"Examination System"
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Hospitality and Tourism","Under Graduate","B.A.-Bachelor of Arts",Tourism,30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Hospitality and Tourism","Under Graduate","B.Sc.-Bachelor of Science","HM (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Post Graduate","M.B.A.- Master of Business Administration","General (D)",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Post Graduate","M.B.A.- Master of Business Administration","others (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Under Graduate","B.B.A.-Bachelor of Business Administration","3 continent (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Under Graduate","B.B.A.-Bachelor of Business Administration","4 spl",80,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Under Graduate","B.B.A.-Bachelor of Business Administration","B and I (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Under Graduate","B.B.A.-Bachelor of Business Administration","Entrepreneurship (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Management Studies","Under Graduate","B.B.A.-Bachelor of Business Administration","General (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Science , Engineering and Technology","Under Graduate","B.Sc.-Bachelor of Science","FS (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Science , Engineering and Technology","Under Graduate","B.Tech.-Bachelor of Technology","AE (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Science , Engineering and Technology","Under Graduate","B.Tech.-Bachelor of Technology","Civil Eng.(D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Science , Engineering and Technology","Under Graduate","B.Tech.-Bachelor of Technology","CS, EandT, NST and Nano (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Amity University Dubai Campus","Department of Science , Engineering and Technology","Under Graduate","B.Tech.-Bachelor of Technology","Solar and Alt. En (D)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Architecture and Design","Amity School of Architecture and Planning","Post Graduate","M.Arch.-Master of Architecture",Architecture,20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Architecture and Design","Amity School of Architecture and Planning","Under Graduate","B.Architecture-Bachelor of Architecture",Arch,80,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Architecture and Design","Amity School of Architecture and Planning Lucknow","Under Graduate","B.Architecture-Bachelor of Architecture",Architecture,40,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Architecture and Design","Amity School of Design","Post Graduate","M.A.-Master of Arts",Design,120,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Architecture and Design","Amity School of Design","Under Graduate","B.Sc.-Bachelor of Science",Design,120,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity College of Commerce and Finance","Post Graduate","M.A.-Master of Arts",Finance,30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity College of Commerce and Finance","Under Graduate","B.A.-Bachelor of Arts",Finance,40,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity College of Commerce and Finance","Under Graduate","B.Com.-Bachelor of Commerce",Hons,200,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity College of Commerce and Finance","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)","evening (N)",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioral and Allied Sciences, Lucknow","PG Diploma","PG Diploma-Post Graduate Diploma","C P",10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioral and Allied Sciences, Lucknow","Post Graduate","M.A.-Master of Arts","Counsel P",10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioural (Health) and Allied Sciences",Integrated,"Integrated M.A.-Integrated Master of Arts","Clinical Psycho.",15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioural (Health) and Allied Sciences",M.Phil.,"M.Phil.-Master of Philosophy","Clinical Psycho.",8,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioural (Health) and Allied Sciences","Post Graduate","M.A.-Master of Arts","Clinical Psycho.",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Behavioural (Health) and Allied Sciences","Post Graduate","M.A.-Master of Arts","Org. Behaviour",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of English Studies and Research","Post Graduate","M.A.-Master of Arts",English,20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of English Studies and Research","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",English,120,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Psychology and Allied Sciences",M.Phil.,"M.Phil.-Master of Philosophy",CAP,5,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Psychology and Allied Sciences","Post Graduate","M.A.-Master of Arts","Applied Psycho.",15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Psychology and Allied Sciences","Post Graduate","M.A.-Master of Arts","Counselling Psycho.",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Psychology and Allied Sciences","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)","Applied Psycho.",90,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Social Science",Ph.D.,"Ph.D.-Doctor of Philosophy",English,5,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Social Science","Post Graduate","M.A.-Master of Arts","Develop. Studies",10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Social Science","Post Graduate","M.A.-Master of Arts","Political Sci.",15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Social Science","Post Graduate","M.A.-Master of Arts","Social Work",40,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity Institute of Social Science","Under Graduate","B.A.-Bachelor of Arts","Social Work",15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication",M.Phil.,"M.Phil.-Master of Philosophy",English,12,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Post Graduate","M.A.-Master of Arts","Advertising and Marketing",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Post Graduate","M.A.-Master of Arts","Film and TV Production",15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Post Graduate","M.B.A.- Master of Business Administration","Media Mgmt",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Post Graduate","M.J.M.C.-Master of Journalism and Mass Communication",Gen,50,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Post Graduate","M.J.M.C.-Master of Journalism and Mass Communication",General,80,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Communication","Under Graduate","B.J.M.C.-Bachelor of Journalism and Mass Communication",General,180,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Economics","Post Graduate","M.A.-Master of Arts",Economics,60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Economics","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Economics,35,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fashion Technology","Post Graduate","M.A.-Master of Arts","Fashion Retail Mgmt",20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fashion Technology","Under Graduate","B.Sc.-Bachelor of Science",FDandT,80,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fashion Technology, Lucknow","Post Graduate","M.F.A. -Master of Fine Arts","Fine Arts",20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fashion Technology, Lucknow","Post Graduate","M.Sc.-Master of Science",FandTM,20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fashion Technology, Lucknow","Under Graduate","B.Sc.-Bachelor of Science","FD and T",45,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts","Post Graduate","M.F.A. -Master of Fine Arts","Applied Arts",20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts","Post Graduate","M.F.A. -Master of Fine Arts",Painting,10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts","Under Graduate","B.F.A.-Bachelor of Fine Arts",Animation,60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts","Under Graduate","B.F.A.-Bachelor of Fine Arts","Fine Arts",60,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts, Lucknow","Post Graduate","M.F.A. -Master of Fine Arts",MFA,20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Fine Arts, Lucknow","Under Graduate","B.F.A.-Bachelor of Fine Arts",BFandIA,15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Foreign Languages","Post Graduate","M.A.-Master of Arts",French,10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Foreign Languages","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",French,20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Foreign Languages","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",German,15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity School of Foreign Languages","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)",Spanish,15,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity school of languages Lucknow","Post Graduate","M.A.-Master of Arts","English (Lko)",30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)","Arts, Journalism and Mass Communication, hHmanities and Social Science","Amity school of languages Lucknow","Under Graduate","B.A.(Hons)-Bachelor of Arts (Honors)","English (Lko)",40,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Anthropology","Post Graduate","M.Sc.-Master of Science",Anthropology,10,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Anthropology","Under Graduate","B.Sc.-Bachelor of Science",Anthropology,30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology",Integrated,"B.Tech M.Tech-Bachelor of Technology, Master of Technology",Biotech,80,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Post Graduate","M.Sc.-Master of Science",Bio-Info,30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Post Graduate","M.Sc.-Master of Science",Biotech,160,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Post Graduate","M.Tech. -Master of Technology","Bio CandE",20,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Post Graduate","M.Tech. -Master of Technology",Biotech,120,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Biotech,40,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Under Graduate","B.Sc.(Hons)-Bachelor of Science (Honors)",Medical,30,Semester
"Amity University, Gautam Budh Nagar (Id: U-0497)",Biotechnology,"Amity Institute of Bio-technology","Under Graduate","B.Tech.-Bachelor of Technology",Bioinformatics,40,Semester
