"Sl. No.",State,"Name Of University","Name Of College","Arts - Male","Arts - Female","Science - Male","Science - Female","Commerce - Male","Commerce - Female","Computer App / Computer Science - Male","Computer App / Computer Science - Female","Management - Male","Management - Female","Education - Male","Education - Female","Engineering and Technology - Male","Engineering and Technology - Female","Medicine - Male","Medicine - Female","Agriculture - Male","Agriculture - Female","Veterinary Science - Male","Veterinary Science - Female","Law - Male","Law - Female","Others - Male","Others - Female","Total - Male","Total - Female","Grand Total"
887,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","Indira Gandhi Government College, Tezu (Id: C-16304)",399,270,0,0,0,72,63,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,342,804
888,"Arunachal Pradesh","Rajiv Gandhi University, Itanagar (Id: U-0047)","SIANG ROYAL ACADEMY, PASIGHAT (Id: C-47705)",0,0,0,0,0,0,0,0,0,0,46,49,0,0,0,0,0,0,0,0,0,0,0,0,46,49,95
889,Assam,"Assam Agricultural University, Jorhat (Id: U-0048)","College of Veterinary Science (Id: C-24845)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,256,0,0,0,0,387,256,643
890,Assam,"Assam University, Silchar (Id: U-0050)","R.S.Girls college (Id: C-26393)",0,671,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,703
891,Assam,"Assam University, Silchar (Id: U-0050)","Dr. S.B. Institution of Education (Id: C-26394)",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
892,Assam,"Assam University, Silchar (Id: U-0050)","Katigorah A Degree College (Id: C-26395)",67,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,155,222
893,Assam,"Assam University, Silchar (Id: U-0050)","Janata College (Id: C-26399)",624,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1267,1891
894,Assam,"Assam University, Silchar (Id: U-0050)","Cachar College (Id: C-26401)",401,496,218,132,0,111,334,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,739,1692
895,Assam,"Assam University, Silchar (Id: U-0050)","Hailakandi Women's College (Id: C-26404)",0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,565
896,Assam,"Assam University, Silchar (Id: U-0050)","Women's College,Silchar (Id: C-26409)",0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,776
897,Assam,"Assam University, Silchar (Id: U-0050)","Lala Rural College (Id: C-26411)",240,282,0,0,0,5,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,287,566
898,Assam,"Assam University, Silchar (Id: U-0050)","J.N.Singh College (Id: C-26412)",0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,467
899,Assam,"Assam University, Silchar (Id: U-0050)","Haflong Govt College (Id: C-26414)",305,461,50,73,0,59,61,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,593,1009
900,Assam,"Assam University, Silchar (Id: U-0050)","Patherkandi College (Id: C-26418)",147,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,135,282
901,Assam,"Assam University, Silchar (Id: U-0050)","SM Dev College (Id: C-26420)",48,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,43,91
902,Assam,"Assam University, Silchar (Id: U-0050)","SC Dey College (Id: C-26424)",240,194,0,0,0,20,127,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,214,581
903,Assam,"Assam University, Silchar (Id: U-0050)","N.C.college (Id: C-26427)",1387,1438,179,112,0,91,174,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,1641,3381
904,Assam,"Assam University, Silchar (Id: U-0050)","Vivekananda College of Education (Id: C-26428)",0,0,0,0,0,0,0,0,0,0,46,14,0,0,0,0,0,0,0,0,0,0,0,0,46,14,60
905,Assam,"Assam University, Silchar (Id: U-0050)","Barkhola College (Id: C-26429)",39,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,80,119
906,Assam,"Assam University, Silchar (Id: U-0050)","Maibang Degree College (Id: C-26431)",112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,224
907,Assam,"Assam University, Silchar (Id: U-0050)","M.C.Das College (Id: C-26433)",421,379,45,15,0,16,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,410,930
908,Assam,"Assam University, Silchar (Id: U-0050)","M.H.C Memorial Sc College (Id: C-26434)",0,0,272,109,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,178,573
909,Assam,"Assam University, Silchar (Id: U-0050)","Nilambazar College (Id: C-26435)",302,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,273,575
910,Assam,"Assam University, Silchar (Id: U-0050)","Radhamadhab College (Id: C-26436)",212,307,0,0,0,22,82,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,329,623
911,Assam,"Assam University, Silchar (Id: U-0050)","S.S.College (Id: C-26441)",366,226,143,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,293,802
