id,survey_year,state,college_institution,address_line1,address_line2,city,district,pin_code,website,area_in_acre,construct_in_sqmt,year_of_establishment,affiliat_university,other_affiliated_university_id,statutory_body_id,other_statutory_body,year_of_affiliation,location,latitude,longitude,type,autonomous,has_diploma_courses,management,specialized,evening,speciality,other_speciality,girl_exclusive,staff_quarter_available,non_teaching_staff,teaching_staff,total,student_hostel_available,hostel_count
52077,2015,Telangana,"SRI NARAYANA DEGREE COLLEGE","PLOT NO. 16,17,18&42","KUNTLOOR VI,HAYATHNAGAR MANDAL",RANGAREDDY,Rangareddy,501505,www.narayanagroup.com,NA,82606,2014,"Osmania University, Hyderabad",NA,1,NA,NA,R,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
47251,2015,Gujarat,"Shantaben Manubhai Patel Institute Architecture and Interior Design, Vallabh Vidyanagar","ADIT CAMPUS,GIDC PHASE IV","NEW VALLABH VIDYA NAGAR",ANAND-388121,Anand,388121,www.smaid.edu.in,2.525,8518,2012,"Sardar Patel University, Vallabh Vidyanagar",NA,8,NA,2012,R,22.300001,72.550001,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Architecture,NA,FALSE,TRUE,4,4,8,TRUE,2
6234,2015,"West Bengal","Techno India Kolkata 226","EM-4/2, SECTOR-V","SALT LAKE CITY",KOLKATA,Hugli,900091,NA,0.17,2200,2007,"Maulana Abul Kalam Azad University of Technology, West Bengal",NA,19,WBUT,2007,U,22.00005,88.00005,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
48834,2015,Telangana,"NARAYANA DEGREE COLLEGE, GADDIANNARAM","H.NO 1-72/1,2 PLOT NO.18","CHAITANYAPURI, SAROORNAGAR",RANGAREDDY,Hyderabad,500035,www.narayanagroup.com,NA,19222,2013,"Osmania University, Hyderabad",NA,1,NA,NA,U,NA,NA,"Affiliated College",FALSE,FALSE,"Private Un-Aided",FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
45251,2015,Gujarat,"ASIA PACIFIC INSTITUTE OF HOTEL MANAGEMENT, AHMEDABAD 105","Village:Bhoyani, Kadi Katosan Road","Taluka: Detroj,",Ahmedabad,Ahmadabad,382145,www.apimindia.net,2.5,27884,2010,"Gujarat Technological University, Ahmedbabd",NA,6,NA,2011,R,23.3724338,72.2346898,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Hotel & Tourism Management",NA,FALSE,TRUE,21,16,37,TRUE,1
6858,2015,Gujarat,"SAMARTH VIVIVDHLAXI BED COLLEGE","Opp. Sabar Dairy, N.H. No. - 08,","At & Po:-Hajipur,Ta:-Himatnagar,Dist:-Sabarkantha-383001",Himatnagar,"Sabar Kantha",383001,www.samarthcampus.com,1,2.93705,2006,"Hemchandracharya North Gujart University, Patan",NA,"01,03",NA,2006,R,23.5487357,72.9473485,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Education/Teacher Education",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
46,2015,Gujarat,"Narmada College of Computer Application(NCCA)(SFI)-Bharuch 523","1st Floor, Narmada Education Campus,","Shukla Tirth Road, Zadeshwar,",Bharuch-392011,Bharuch,392011,www.ncca.ac.in,2.5,2905.67,1999,"Gujarat Technological University, Ahmedbabd",NA,6,NA,2009,R,21.730001,73.040001,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Technical,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
1177,2015,Gujarat,"Christian College of Education, Anand","I.P. MIssion Compound","Station Road","Ta. Anand",Anand,388001,www.cce.anand.org,12.78,0.44,2007,"Sardar Patel University, Vallabh Vidyanagar",NA,"01,03",NA,2007,U,22.5645175,72.928871,"Affiliated College",TRUE,FALSE,"Private Un-Aided",TRUE,FALSE,"Education/Teacher Education",NA,FALSE,FALSE,NA,NA,NA,FALSE,0
43,2015,Gujarat,"S. R. Luthra Institute of Management (SFI) Second Shift -SURAT. 805","M.T.B. Arts College Campus,","Near Adarsh Society, Athwa Lines, Taluka: Choryasi","Surat - 395001",Surat,395001,www.srlimba.org,1.25,2388.46,2010,"Gujarat Technological University, Ahmedbabd",NA,6,NA,2015,U,21.00001,72.00048,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,Management,NA,FALSE,FALSE,NA,NA,NA,FALSE,0
8874,2015,Maharashtra,"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE.",Vidyanagari,Deopur,Dhule,Dhule,200005,www.ssvpsengg.ac.in,15.24,32131,1983,"North Maharashtra University, Jalgaon",NA,6,NA,1991,U,20.55107,74.46534,"Affiliated College",FALSE,FALSE,"Private Un-Aided",TRUE,FALSE,"Engineering & Technology",NA,FALSE,TRUE,1,2,3,TRUE,2
