state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
DELHI,7,SHAHDARA,671,15,13165,189,13369
"JAMMU AND KASHMIR",1,BUDGAM,2,1,25192,73,25266
"JAMMU AND KASHMIR",1,GANDERBAL,626,1,13499,35,13535
"JAMMU AND KASHMIR",1,KULGAM,622,2,14754,43,14799
LADAKH,37,"LEH LADAKH",9,2,6807,69,6878
PUDUCHERRY,34,KARAIKAL,598,3,7546,69,7618
"ANDHRA PRADESH",28,"Alluri Sitharama Raju",745,0,5834,6,5840
"ANDHRA PRADESH",28,Konaseema,747,5,32948,108,33061
"ANDHRA PRADESH",28,Nandyal,755,4,43805,155,43964
"ANDHRA PRADESH",28,SRIKAKULAM,519,9,42430,286,42725
"ARUNACHAL PRADESH",12,Bichom,787,0,6,0,6
"ARUNACHAL PRADESH",12,"KRA DAADI",677,0,216,1,217
"ARUNACHAL PRADESH",12,LONGDING,666,0,258,3,261
ASSAM,18,CHARAIDEO,708,2,7760,25,7787
ASSAM,18,CHIRANG,612,4,7766,36,7806
ASSAM,18,DHEMAJI,284,1,12950,59,13010
ASSAM,18,DHUBRI,285,7,25349,134,25490
ASSAM,18,DIBRUGARH,286,7,29510,208,29725
ASSAM,18,"DIMA HASAO",299,0,3026,17,3043
ASSAM,18,HAILAKANDI,289,2,13423,35,13460
ASSAM,18,KAMRUP,291,16,36225,247,36488
ASSAM,18,"KAMRUP METRO",618,123,60834,1610,62567
ASSAM,18,MARIGAON,296,3,16503,60,16566
ASSAM,18,"SOUTH SALMARA MANCACHAR",707,1,5493,22,5516
BIHAR,10,ARWAL,611,0,6635,29,6664
BIHAR,10,DARBHANGA,195,9,45903,304,46216
BIHAR,10,GAYA,196,11,51327,359,51697
BIHAR,10,GOPALGANJ,197,7,25595,154,25756
BIHAR,10,JEHANABAD,199,0,11414,67,11481
BIHAR,10,KHAGARIA,202,2,18757,136,18895
BIHAR,10,MUZAFFARPUR,208,22,78749,654,79425
BIHAR,10,NALANDA,209,3,32439,195,32637
BIHAR,10,SAHARSA,216,6,23122,144,23272
BIHAR,10,SAMASTIPUR,217,7,56927,360,57294
BIHAR,10,SARAN,218,9,38186,228,38423
BIHAR,10,SUPAUL,223,4,30650,169,30823
CHHATTISGARH,22,BASTAR,374,2,14406,121,14529
CHHATTISGARH,22,JANJGIR-CHAMPA,379,3,22647,146,22796
CHHATTISGARH,22,KANKER,381,0,12430,70,12500
CHHATTISGARH,22,"MOHLA MANPUR AMBAGARH CHOUKI",761,0,1812,0,1812
CHHATTISGARH,22,MUNGELI,647,0,8873,27,8900
CHHATTISGARH,22,RAIPUR,387,198,97573,2095,99866
GOA,30,"SOUTH GOA",552,7,26892,300,27199
GUJARAT,24,AMRELI,439,5,22969,238,23212
GUJARAT,24,ANAND,440,14,50808,326,51148
GUJARAT,24,"DEVBHOOMI DWARKA",674,2,13209,112,13323
GUJARAT,24,GANDHINAGAR,446,19,47071,480,47570
GUJARAT,24,JAMNAGAR,447,32,45946,713,46691
GUJARAT,24,JUNAGADH,448,8,38123,355,38486
GUJARAT,24,MAHESANA,451,57,45575,930,46562
GUJARAT,24,NARMADA,452,0,6151,43,6194
HARYANA,6,KAITHAL,66,8,41665,273,41946
HARYANA,6,PANCHKULA,70,28,26381,391,26800
HARYANA,6,ROHTAK,73,26,33289,454,33769
HARYANA,6,SIRSA,74,20,42611,350,42981
"HIMACHAL PRADESH",2,BILASPUR,15,2,10629,63,10694
"HIMACHAL PRADESH",2,KULLU,20,2,17138,84,17224
"HIMACHAL PRADESH",2,"LAHUL AND SPITI",21,0,965,2,967
"HIMACHAL PRADESH",2,SHIMLA,23,4,28520,217,28741
"HIMACHAL PRADESH",2,SIRMAUR,24,0,14525,83,14608
"HIMACHAL PRADESH",2,SOLAN,25,15,32289,345,32649
"HIMACHAL PRADESH",2,UNA,26,3,14353,100,14456
JHARKHAND,20,CHATRA,323,0,15335,59,15394
JHARKHAND,20,DHANBAD,325,22,59944,477,60443
JHARKHAND,20,"GARHWA ",328,0,13577,76,13653
JHARKHAND,20,"SERAIKELA-KHARSAWAN  ",341,8,18070,147,18225
KARNATAKA,29,BIDAR,529,9,36292,219,36520
KARNATAKA,29,CHAMARAJNAGAR,531,2,20503,122,20627
KARNATAKA,29,HASSAN,539,11,46556,490,47057
KARNATAKA,29,KALABURAGI,538,20,48054,428,48502
KERALA,32,KANNUR,557,24,56692,537,57253
"MADHYA PRADESH",23,"AGAR MALWA",667,4,18657,99,18760
"MADHYA PRADESH",23,BHOPAL,396,75,110397,1078,111550
"MADHYA PRADESH",23,DAMOH,400,5,17425,110,17540
"MADHYA PRADESH",23,DHAR,403,18,52118,356,52492
"MADHYA PRADESH",23,JHABUA,412,1,16409,76,16486
"MADHYA PRADESH",23,NARSINGHPUR,418,4,20891,165,21060
"MADHYA PRADESH",23,RATLAM,423,4,45767,302,46073
"MADHYA PRADESH",23,SEONI,428,4,22953,179,23136
"MADHYA PRADESH",23,SHIVPURI,432,0,23520,177,23697
MAHARASHTRA,27,AHMEDNAGAR,466,49,196879,1279,198207
MAHARASHTRA,27,JALGAON,478,60,125542,779,126381
MAHARASHTRA,27,LATUR,481,28,84729,534,85291
MAHARASHTRA,27,"MUMBAI SUBURBAN",483,631,375626,5760,382017
MAHARASHTRA,27,NAGPUR,484,165,228481,2426,231072
MAHARASHTRA,27,YAVATMAL,500,13,62358,367,62738
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",663,0,1448,6,1454
MEGHALAYA,17,"SOUTH WEST KHASI HILLS",658,0,919,2,921
MIZORAM,15,LAWNGTLAI,264,0,968,4,972
MIZORAM,15,MAMIT,266,0,941,3,944
NAGALAND,13,Chumoukedima,758,0,1994,1,1995
ODISHA,21,BARGARH,347,6,26738,173,26917
ODISHA,21,JHARSUGUDA,357,12,16910,256,17178
ODISHA,21,KANDHAMAL,359,2,11600,40,11642
ODISHA,21,KENDUJHAR,361,37,37471,397,37905
ODISHA,21,NAYAGARH,367,3,21867,94,21964
PUNJAB,3,AMRITSAR,27,33,92963,760,93756
PUNJAB,3,BARNALA,605,4,22171,137,22312
PUNJAB,3,FARIDKOT,29,2,22919,124,23045
PUNJAB,3,HOSHIARPUR,33,4,51197,263,51464
PUNJAB,3,PATHANKOT,662,5,19821,166,19992
PUNJAB,3,"SRI MUKTSAR SAHIB",39,4,27581,189,27774
RAJASTHAN,8,CHURU,96,5,50149,201,50355
RAJASTHAN,8,DUNGARPUR,99,0,23432,85,23517
RAJASTHAN,8,GANGANAGAR,100,30,76531,587,77148
RAJASTHAN,8,"Jaipur Gramin",102,0,14558,34,14592
RAJASTHAN,8,JALORE,104,3,28582,155,28740
RAJASTHAN,8,JODHPUR,107,54,115211,1200,116465
RAJASTHAN,8,PRATAPGARH,629,1,16547,82,16630
SIKKIM,11,Mangan,226,0,802,5,807
"TAMIL NADU",33,CHENNAI,568,509,335808,6290,342607
"TAMIL NADU",33,COIMBATORE,569,139,194134,2034,196307
"TAMIL NADU",33,KARUR,576,8,31082,218,31308
"TAMIL NADU",33,KRISHNAGIRI,577,13,77036,521,77570
"TAMIL NADU",33,"THE NILGIRISH",587,7,24519,90,24616
"TAMIL NADU",33,THENI,588,8,46150,267,46425
"TAMIL NADU",33,THIRUVARUR,590,1,39769,152,39922
TELANGANA,36,KHAMMAM,509,7,45535,338,45880
TELANGANA,36,Mulugu,720,1,5000,26,5027
TELANGANA,36,NIZAMABAD,516,7,54687,257,54951
TELANGANA,36,SIDDIPET,692,4,35587,138,35729
TELANGANA,36,"YADADRI BHUVANAGIRI",697,1,24009,72,24082
TRIPURA,16,UNAKOTI,655,0,6745,26,6771
"UTTAR PRADESH",9,BALLIA,126,9,33898,189,34096
"UTTAR PRADESH",9,BALRAMPUR,127,1,16242,96,16339
"UTTAR PRADESH",9,BANDA,128,1,15585,120,15706
"UTTAR PRADESH",9,BAREILLY,130,40,78393,589,79022
"UTTAR PRADESH",9,BASTI,131,11,31423,213,31647
"UTTAR PRADESH",9,BHADOHI,179,2,21596,98,21696
"UTTAR PRADESH",9,BUDAUN,133,5,28944,247,29196
"UTTAR PRADESH",9,FARRUKHABAD,141,1,20347,139,20487
"UTTAR PRADESH",9,GHAZIPUR,146,5,48890,217,49112
"UTTAR PRADESH",9,JALAUN,151,2,16970,154,17126
"UTTAR PRADESH",9,KANNAUJ,155,3,17972,132,18107
"UTTAR PRADESH",9,KUSHINAGAR,160,10,38148,252,38410
"UTTAR PRADESH",9,"LAKHIMPUR KHERI",159,8,35889,256,36153
"UTTAR PRADESH",9,MATHURA,167,15,66425,461,66901
"UTTAR PRADESH",9,MIRZAPUR,170,9,30377,192,30578
"UTTAR PRADESH",9,PILIBHIT,173,1,26907,122,27030
"UTTAR PRADESH",9,RAMPUR,176,18,34878,235,35131
"UTTAR PRADESH",9,"SANT KABEER NAGAR",178,6,19914,107,20027
"UTTAR PRADESH",9,SHAHJAHANPUR,180,11,33288,303,33602
"UTTAR PRADESH",9,SIDDHARTHNAGAR,182,2,24596,152,24750
"UTTAR PRADESH",9,SULTANPUR,185,2,28623,163,28788
UTTARAKHAND,5,CHAMOLI,47,0,8817,18,8835
