StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
CHHATTISGARH,22,KANKER,379,805,337,31,182,255,2022-04-01T08:30:17.817
CHHATTISGARH,22,KORBA,370,2321,1398,152,211,560,2022-04-01T08:30:17.817
CHHATTISGARH,22,MUNGELI,679,553,244,74,27,208,2022-04-01T08:30:17.817
CHHATTISGARH,22,SURGUJA,367,911,674,12,75,150,2022-04-01T08:30:17.817
GOA,30,"NORTH GOA",551,3692,3225,88,31,348,2022-04-01T08:30:18.393
GOA,30,"SOUTH GOA",552,2681,2314,64,57,246,2022-04-01T08:30:18.393
GUJARAT,24,BHAVNAGAR,440,10002,6749,297,46,2910,2022-04-01T08:30:18.630
GUJARAT,24,"PANCH MAHALS",443,2018,1399,60,89,470,2022-04-01T08:30:18.630
HARYANA,6,AMBALA,89,4973,3963,421,6,583,2022-04-01T08:30:22.300
HARYANA,6,FARIDABAD,106,14084,11988,607,36,1453,2022-04-01T08:30:22.300
HARYANA,6,GURUGRAM,105,20096,16460,637,56,2943,2022-04-01T08:30:22.300
HARYANA,6,ROHTAK,101,2797,2263,187,5,342,2022-04-01T08:30:22.300
HARYANA,6,SIRSA,98,5602,3647,774,9,1172,2022-04-01T08:30:22.300
"HIMACHAL PRADESH",2,CHAMBA,45,509,383,46,73,7,2022-04-01T08:30:23.503
JHARKHAND,20,"KODERMA ",361,2145,754,271,52,1068,2022-04-01T08:30:23.777
JHARKHAND,20,"SERAIKELA-KHARSAWAN  ",622,5607,3623,110,329,1545,2022-04-01T08:30:23.777
KARNATAKA,29,BELAGAVI,524,22805,10242,1527,600,10436,2022-04-01T08:30:24.790
KARNATAKA,29,"BENGALURU (RURAL)",544,12169,9778,511,118,1762,2022-04-01T08:30:24.790
KARNATAKA,29,"DAKSHIN KANNAD",547,8247,4700,207,148,3192,2022-04-01T08:30:24.790
KARNATAKA,29,DAVANGERE,537,3634,2067,351,207,1009,2022-04-01T08:30:24.790
KARNATAKA,29,HASSAN,546,2406,1295,238,30,843,2022-04-01T08:30:24.790
KARNATAKA,29,KALABURAGI,527,2745,1535,339,34,837,2022-04-01T08:30:24.790
KARNATAKA,29,MANDYA,545,1670,1304,83,5,278,2022-04-01T08:30:24.790
"MADHYA PRADESH",23,BARWANI,409,9143,1390,665,1915,5173,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,BURHANPUR,386,8861,2824,549,315,5173,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,GUNA,388,13787,4068,2223,298,7198,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,MANDSAUR,400,7557,2735,687,68,4067,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,PANNA,391,8077,3668,1277,348,2784,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,RAISEN,415,20018,8560,1567,695,9196,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,REWA,395,13193,7980,1170,519,3524,2022-04-01T08:30:27.603
