state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
MAHARASHTRA,27,YAVATMAL,500,38,80772,529,81339
MANIPUR,14,KANGPOKPI,712,0,2646,1,2647
MANIPUR,14,SENAPATI,257,1,4654,13,4668
MIZORAM,15,Khawzawl,728,0,517,2,519
MIZORAM,15,LUNGLEI,265,1,3263,11,3275
NAGALAND,13,DIMAPUR,244,13,12698,118,12829
NAGALAND,13,LONGLENG,615,0,1152,0,1152
NAGALAND,13,MON,247,0,2972,5,2977
NAGALAND,13,Niuland,764,0,874,0,874
ODISHA,21,BHADRAK,348,9,50193,204,50406
ODISHA,21,DEOGARH,351,1,8136,20,8157
ODISHA,21,KHORDHA,362,177,136345,1915,138437
ODISHA,21,KORAPUT,363,3,29298,217,29518
ODISHA,21,MAYURBHANJ,365,4,48978,268,49250
ODISHA,21,NAYAGARH,367,6,29395,114,29515
ODISHA,21,SONEPUR,372,2,18004,82,18088
PUNJAB,3,BATHINDA,28,41,68312,676,69029
PUNJAB,3,KAPURTHALA,35,14,45676,280,45970
PUNJAB,3,PATIALA,41,71,114679,917,115667
PUNJAB,3,RUPNAGAR,42,10,29123,176,29309
PUNJAB,3,SANGRUR,43,25,63404,627,64056
RAJASTHAN,8,ALWAR,87,155,130983,1667,132805
RAJASTHAN,8,BARAN,89,21,30429,301,30751
RAJASTHAN,8,BHILWARA,92,88,123809,1162,125059
RAJASTHAN,8,BIKANER,93,73,113659,1364,115096
RAJASTHAN,8,CHITTORGARH,95,14,67872,495,68381
RAJASTHAN,8,GANGANAGAR,100,63,98786,816,99665
RAJASTHAN,8,JHALAWAR,105,7,43055,312,43374
RAJASTHAN,8,Kotputli-Behror,782,3,10956,22,10981
RAJASTHAN,8,Salumbar,777,0,2226,2,2228
RAJASTHAN,8,Shahpura,92,0,1405,2,1407
RAJASTHAN,8,SIKAR,114,19,114053,601,114673
"TAMIL NADU",33,Chengalpattu,730,15,98205,426,98646
"TAMIL NADU",33,DINDIGUL,572,40,103878,751,104669
"TAMIL NADU",33,PUDUKKOTTAI,582,13,66713,355,67081
"TAMIL NADU",33,Tenkasi,733,3,47727,188,47918
TELANGANA,36,ADILABAD,501,8,25760,160,25928
TELANGANA,36,HYDERABAD,507,1013,272689,7758,281460
TELANGANA,36,JANGOAN,689,1,17917,91,18009
TELANGANA,36,"JAYASHANKAR BHUPALAPALLY",687,2,10977,45,11024
TELANGANA,36,"KOMARAM BHEEM ASIFABAD",699,2,12706,47,12755
TELANGANA,36,MAHABUBABAD,688,4,22471,109,22584
TELANGANA,36,MEDAK,513,16,27677,269,27962
TELANGANA,36,Narayanpet,721,0,10813,38,10851
TELANGANA,36,Nirmal,680,6,26518,122,26646
TELANGANA,36,"RAJANNA SIRCILLA",683,1,24844,55,24900
TELANGANA,36,"RANGA REDDI",518,273,188209,3045,191527
TELANGANA,36,SIDDIPET,692,10,43495,270,43775
TELANGANA,36,WANAPARTHY,693,1,18626,81,18708
TELANGANA,36,"YADADRI BHUVANAGIRI",697,8,33757,176,33941
"UTTAR PRADESH",9,BARABANKI,129,24,48576,423,49023
"UTTAR PRADESH",9,GORAKHAPUR,148,61,101454,1118,102633
"UTTAR PRADESH",9,KANNAUJ,155,3,24485,162,24650
"UTTAR PRADESH",9,LALITPUR,161,12,20380,166,20558
"UTTAR PRADESH",9,MIRZAPUR,170,14,42646,284,42944
"UTTAR PRADESH",9,MUZAFFARNAGAR,172,69,76727,748,77544
"UTTAR PRADESH",9,PRAYAGRAJ,120,60,120242,1017,121319
"UTTAR PRADESH",9,SAHARANPUR,177,25,105455,615,106095
"UTTAR PRADESH",9,"SANT KABEER NAGAR",178,9,26924,134,27067
UTTARAKHAND,5,DEHRADUN,49,65,113248,1042,114355
UTTARAKHAND,5,HARIDWAR,50,94,77266,979,78339
UTTARAKHAND,5,"RUDRA PRAYAG",54,0,6351,14,6365
UTTARAKHAND,5,"TEHRI GARHWAL",55,6,13246,69,13321
"WEST BENGAL",19,COOCHBEHAR,308,6,53762,282,54050
"WEST BENGAL",19,"EAST MEDINIPUR",317,29,129775,1072,130876
"WEST BENGAL",19,"SOUTH 24 PRAGANAS",304,107,158683,999,159789
"ANDAMAN AND NICOBAR ISLANDS",35,NIKOBARS,603,0,576,2,578
"ANDAMAN AND NICOBAR ISLANDS",35,"SOUTH ANDAMANS",602,3,13832,148,13983
CHANDIGARH,4,CHANDIGARH,44,128,56942,1263,58333
DELHI,7,"SOUTH WEST",84,242,99986,2418,102646
"JAMMU AND KASHMIR",1,ANANTNAG,1,22,50666,206,50894
"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",38,DIU,464,0,960,22,982
"ANDHRA PRADESH",28,Anakapalli,744,6,35647,105,35758
"ANDHRA PRADESH",28,CHITOOR,503,44,90386,785,91215
"ANDHRA PRADESH",28,"EAST GODAVARI",505,97,99111,1432,100640
"ANDHRA PRADESH",28,KURNOOL,511,41,103504,790,104335
"ANDHRA PRADESH",28,Palnadu,751,2,50390,182,50574
"ANDHRA PRADESH",28,"Parvathipuram Manyam",743,0,12369,43,12412
